"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","redlist","status","records","datasets","phylum","order","family","genus","species","class","ecoregion"
"64",431056,431056,431031,"Species","Cynoscion xanthulus","Jordan & Gilbert, 1882",276095,TRUE,"DD",1,1,"Chordata","Perciformes","Sciaenidae","Cynoscion","Cynoscion xanthulus","Actinopteri","Magdalena Transition"
"65",431801,431801,776376,"Species","Dactylagnus mundus","Gill, 1863",280470,TRUE,"LC",2,1,"Chordata","Perciformes","Dactyloscopidae","Dactylagnus","Dactylagnus mundus","Actinopteri","Magdalena Transition"
"66",431904,431904,431894,"Species","Dactyloscopus pectoralis","Gill, 1861",276404,TRUE,"LC",1,1,"Chordata","Perciformes","Dactyloscopidae","Dactyloscopus","Dactyloscopus pectoralis","Actinopteri","Magdalena Transition"
"67",432297,432297,696975,"Species","Dasyatis brevis","(Garman, 1880)",271428,NA,NA,4,1,"Chordata","Myliobatiformes","Dasyatidae","Dasyatis","Dasyatis brevis","Elasmobranchii","Magdalena Transition"
"68",432492,432492,778801,"Species","Decipisagitta decipiens","(Fowler, 1905)",370469,NA,NA,1,1,"Chaetognatha","Aphragmophora","Sagittidae","Decipisagitta","Decipisagitta decipiens","Sagittoidea","Magdalena Transition"
"69",432573,432573,743939,"Genus","Delphinus","Linnaeus, 1758",137015,NA,NA,32,9,"Chordata","Cetartiodactyla","Delphinidae","Delphinus",NA,"Mammalia","Magdalena Transition"
"70",432575,432575,432573,"Species","Delphinus delphis","Linnaeus, 1758",137094,TRUE,"LC",125,17,"Chordata","Cetartiodactyla","Delphinidae","Delphinus","Delphinus delphis","Mammalia","Magdalena Transition"
"71",433041,433041,768188,"Species","Dentigloborotalia anfracta","(Parker, 1967)",113463,NA,NA,2,1,"Foraminifera","Globigerinida","Globorotaliidae","Dentigloborotalia","Dentigloborotalia anfracta","Globothalamea","Magdalena Transition"
"72",433704,433704,784120,"Species","Diaphus pacificus","Parr, 1931",272684,NA,NA,6,1,"Chordata","Myctophiformes","Myctophidae","Diaphus","Diaphus pacificus","Actinopteri","Magdalena Transition"
"73",434828,434828,434822,"Species","Diplectrum labarum","Rosenblatt & Johnson, 1974",276180,TRUE,"LC",22,2,"Chordata","Perciformes","Serranidae","Diplectrum","Diplectrum labarum","Actinopteri","Magdalena Transition"
"74",434834,434834,434822,"Species","Diplectrum rostrum","Bortone, 1974",276185,TRUE,"LC",4,3,"Chordata","Perciformes","Serranidae","Diplectrum","Diplectrum rostrum","Actinopteri","Magdalena Transition"
"75",434835,434835,434822,"Species","Diplectrum sciurus","Gilbert, 1892",276186,TRUE,"LC",6,2,"Chordata","Perciformes","Serranidae","Diplectrum","Diplectrum sciurus","Actinopteri","Magdalena Transition"
"76",434846,434846,744505,"Species","Diplobatis ommata","(Jordan & Gilbert, 1890)",280551,TRUE,"VU",24,3,"Chordata","Torpediniformes","Narcinidae","Diplobatis","Diplobatis ommata","Elasmobranchii","Magdalena Transition"
"77",435229,435229,744551,"Species","Diplophos taenia","Günther, 1873",127292,NA,NA,3,1,"Chordata","Stomiiformes","Gonostomatidae","Diplophos","Diplophos taenia","Actinopteri","Magdalena Transition"
"78",436244,436244,777984,"Species","Dosidicus gigas","(d'Orbigny [in 1834-1847], 1835)",342291,TRUE,"DD",2,1,"Mollusca","Oegopsida","Ommastrephidae","Dosidicus","Dosidicus gigas","Cephalopoda","Magdalena Transition"
"79",437022,437022,744913,"Species","Echidna nocturna","(Cope, 1872)",278678,TRUE,"LC",2,2,"Chordata","Anguilliformes","Muraenidae","Echidna","Echidna nocturna","Actinopteri","Magdalena Transition"
"80",437337,437337,437329,"Species","Echiodon exsilium","Rosenblatt, 1961",272782,TRUE,"LC",1,1,"Chordata","Ophidiiformes","Carapidae","Echiodon","Echiodon exsilium","Actinopteri","Magdalena Transition"
"81",437547,437547,456816,"Genus","Edotia","Guérin-Méneville, 1843",157882,NA,NA,1,1,"Arthropoda","Isopoda","Idoteidae","Edotia",NA,"Malacostraca","Magdalena Transition"
"82",438885,438885,438880,"Species","Enoplometopus occidentalis","(Randall, 1840)",210068,TRUE,"LC",1,1,"Arthropoda","Decapoda","Enoplometopidae","Enoplometopus","Enoplometopus occidentalis","Malacostraca","Magdalena Transition"
"83",439095,439095,439091,"Species","Entomacrodus chiostictus","(Jordan & Gilbert, 1882)",277243,TRUE,"LC",1,1,"Chordata","Perciformes","Blenniidae","Entomacrodus","Entomacrodus chiostictus","Actinopteri","Magdalena Transition"
"84",439979,439979,769804,"Species","Eretmochelys imbricata","(Linnaeus, 1766)",137207,TRUE,"CR",1,1,"Chordata","Testudines","Cheloniidae","Eretmochelys","Eretmochelys imbricata","Reptilia","Magdalena Transition"
"85",440365,440365,440364,"Species","Eschrichtius robustus","(Lilljeborg, 1861)",137112,TRUE,"LC",1,1,"Chordata","Cetartiodactyla","Eschrichtiidae","Eschrichtius","Eschrichtius robustus","Mammalia","Magdalena Transition"
"86",440722,440722,697372,"Species","Etropus peruvianus","Hildebrand, 1946",275709,TRUE,"LC",1,1,"Chordata","Pleuronectiformes","Paralichthyidae","Etropus","Etropus peruvianus","Actinopteri","Magdalena Transition"
"87",440866,440866,440855,"Species","Eucalanus inermis","Giesbrecht, 1893",346435,NA,NA,1,1,"Arthropoda","Calanoida","Eucalanidae","Eucalanus","Eucalanus inermis",NA,"Magdalena Transition"
"88",440927,440927,625137,"Species","Euchaeta marinella","Bradford, 1974",346441,NA,NA,1,1,"Arthropoda","Calanoida","Euchaetidae","Euchaeta","Euchaeta marinella",NA,"Magdalena Transition"
"89",440936,440936,625137,"Species","Euchaeta rimana","Bradford, 1974",346444,NA,NA,1,1,"Arthropoda","Calanoida","Euchaetidae","Euchaeta","Euchaeta rimana",NA,"Magdalena Transition"
"90",441087,441087,697401,"Species","Eucinostomus currani","Zahuranec, 1980",276416,TRUE,"LC",8,2,"Chordata","Perciformes","Gerreidae","Eucinostomus","Eucinostomus currani","Actinopteri","Magdalena Transition"
"91",441089,441089,697401,"Species","Eucinostomus entomelas","Zahuranec, 1980",276418,TRUE,"LC",26,2,"Chordata","Perciformes","Gerreidae","Eucinostomus","Eucinostomus entomelas","Actinopteri","Magdalena Transition"
"92",442026,442026,625824,"Family","Euphausiidae","Dana, 1852",110671,NA,NA,5,1,"Arthropoda","Euphausiacea","Euphausiidae",NA,NA,"Malacostraca","Magdalena Transition"
"93",443015,443015,776464,"Species","Exerpes asper","(Jenkins & Evermann, 1889)",280769,TRUE,"LC",20,2,"Chordata","Perciformes","Labrisomidae","Exerpes","Exerpes asper","Actinopteri","Magdalena Transition"
"94",443959,443959,771741,"Species","Fistularia commersonii","Rüppell, 1838",217966,NA,NA,1,1,"Chordata","Syngnathiformes","Fistulariidae","Fistularia","Fistularia commersonii","Actinopteri","Magdalena Transition"
"95",443960,443960,771741,"Species","Fistularia corneta","Gilbert & Starks, 1904",276231,TRUE,"LC",3,2,"Chordata","Syngnathiformes","Fistulariidae","Fistularia","Fistularia corneta","Actinopteri","Magdalena Transition"
"96",444212,444212,776469,"Species","Fodiator acutus","(Valenciennes, 1847)",280791,NA,NA,2,1,"Chordata","Beloniformes","Exocoetidae","Fodiator","Fodiator acutus","Actinopteri","Magdalena Transition"
