"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","class","species","redlist","status","gisd","ecoregion"
"2440",851098,851098,854829,"Species","Pristobrycon eigenmanni",NA,NA,8,1,"Chordata","Characiformes","Characidae","Pristobrycon","Actinopterygii","Pristobrycon eigenmanni",NA,NA,NA,"Guianan"
"2441",851121,851121,843833,"Species","Sorubim elongatus",NA,NA,3,2,"Chordata","Siluriformes","Pimelodidae","Sorubim","Actinopterygii","Sorubim elongatus",NA,NA,NA,"Guianan"
"2442",851122,851122,751828,"Species","Microschemobrycon callops",NA,NA,2,2,"Chordata","Characiformes","Characidae","Microschemobrycon","Actinopterygii","Microschemobrycon callops",NA,NA,NA,"Guianan"
"2443",851126,851126,852794,"Species","Brachyrhamdia heteropleura",NA,NA,6,2,"Chordata","Siluriformes","Heptapteridae","Brachyrhamdia","Actinopterygii","Brachyrhamdia heteropleura",NA,NA,NA,"Guianan"
"2444",851139,851139,737473,"Species","Aequidens michaeli",NA,NA,4,1,"Chordata","Perciformes","Cichlidae","Aequidens","Actinopterygii","Aequidens michaeli",NA,NA,NA,"Guianan"
"2445",851141,851141,427200,"Species","Corydoras geoffroy",NA,NA,1,1,"Chordata","Siluriformes","Callichthyidae","Corydoras","Actinopterygii","Corydoras geoffroy",NA,NA,NA,"Guianan"
"2446",851151,851151,535008,"Species","Auchenipterus dentatus",NA,NA,1,1,"Chordata","Siluriformes","Auchenipteridae","Auchenipterus","Actinopterygii","Auchenipterus dentatus",NA,NA,NA,"Guianan"
"2447",851175,851175,749089,"Species","Knodus heteresthes",NA,NA,8,3,"Chordata","Characiformes","Characidae","Knodus","Actinopterygii","Knodus heteresthes",NA,NA,NA,"Guianan"
"2448",851181,851181,738546,"Species","Apareiodon agmatos",NA,NA,34,2,"Chordata","Characiformes","Parodontidae","Apareiodon","Actinopterygii","Apareiodon agmatos",NA,NA,NA,"Guianan"
"2449",851186,851186,855513,"Species","Hydrolycus scomberoides",NA,NA,6,2,"Chordata","Characiformes","Cynodontidae","Hydrolycus","Actinopterygii","Hydrolycus scomberoides",NA,NA,NA,"Guianan"
"2450",851197,851197,747982,"Species","Heptapterus longior",NA,NA,3,1,"Chordata","Siluriformes","Heptapteridae","Heptapterus","Actinopterygii","Heptapterus longior",NA,NA,NA,"Guianan"
"2451",851219,851219,753486,"Species","Ochmacanthus alternus",NA,NA,8,2,"Chordata","Siluriformes","Trichomycteridae","Ochmacanthus","Actinopterygii","Ochmacanthus alternus",NA,NA,NA,"Guianan"
"2452",851227,851227,738245,"Species","Ancistrus leucostictus",NA,NA,12,3,"Chordata","Siluriformes","Loricariidae","Ancistrus","Actinopterygii","Ancistrus leucostictus",NA,NA,NA,"Guianan"
