"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","hab","gisd","ecoregion"
"59",398010,398010,778666,"Species","Actinomonas mirabilis","W.S.Kent, 1880",375694,1,1,"Ochrophyta","Pedinellales","Pedinellaceae","Actinomonas","Actinomonas mirabilis","Dictyochophyceae",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"60",398029,398029,770756,"Genus","Actinoptychus","Ehrenberg, 1843",148947,2,1,"Ochrophyta","Coscinodiscales","Heliopeltaceae","Actinoptychus",NA,"Bacillariophyceae",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"61",398083,398083,398029,"Species","Actinoptychus senarius","(Ehrenberg) Ehrenberg, 1843",148948,76,3,"Ochrophyta","Coscinodiscales","Heliopeltaceae","Actinoptychus","Actinoptychus senarius","Bacillariophyceae",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"62",398285,398285,768217,"Species","Adercotryma glomerata","(Brady, 1878)",113837,2,1,"Foraminifera","Lituolida","Adercotrymidae","Adercotryma","Adercotryma glomerata","Globothalamea",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"63",398391,398391,737450,"Genus","Aega","Leach, 1815",118394,5,1,"Arthropoda","Isopoda","Aegidae","Aega",NA,"Malacostraca",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"64",398412,398412,398391,"Species","Aega psora","(Linnaeus, 1758)",118827,24,5,"Arthropoda","Isopoda","Aegidae","Aega","Aega psora","Malacostraca",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"65",398462,398462,780126,"Genus","Aeginina","Norman, 1905",101429,149,5,"Arthropoda","Amphipoda","Caprellidae","Aeginina",NA,"Malacostraca",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"66",398463,398463,398462,"Species","Aeginina aenigmatica","Laubitz, 1972",158158,1,1,"Arthropoda","Amphipoda","Caprellidae","Aeginina","Aeginina aenigmatica","Malacostraca",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"67",398483,398483,1014227,"Genus","Aegisthus","Giesbrecht, 1891",115186,1,1,"Arthropoda","Harpacticoida","Aegisthidae","Aegisthus",NA,NA,NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"68",398509,398509,398508,"Species","Aeolidia papillosa","(Linnaeus, 1761)",138709,25,4,"Mollusca","Nudibranchia","Aeolidiidae","Aeolidia","Aeolidia papillosa","Gastropoda",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"69",398563,398563,398561,"Species","Aequorea albida","A. Agassiz, 1862",157610,1,1,"Cnidaria","Leptothecata","Aequoreidae","Aequorea","Aequorea albida","Hydrozoa",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"70",398597,398597,767969,"Genus","Aetea","Lamouroux, 1812",110819,1,1,"Bryozoa","Cheilostomatida","Aeteidae","Aetea",NA,"Gymnolaemata",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"71",398598,398598,398597,"Species","Aetea anguina","(Linnaeus, 1758)",111062,6,4,"Bryozoa","Cheilostomatida","Aeteidae","Aetea","Aetea anguina","Gymnolaemata",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"72",398602,398602,398597,"Species","Aetea sica","(Couch, 1844)",111066,5,3,"Bryozoa","Cheilostomatida","Aeteidae","Aetea","Aetea sica","Gymnolaemata",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"73",398634,398634,740483,"Family","Aetideidae","Giesbrecht, 1892",104075,10,1,"Arthropoda","Calanoida","Aetideidae",NA,NA,NA,NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"74",398644,398644,398634,"Genus","Aetideus","Brady, 1883",104112,73,2,"Arthropoda","Calanoida","Aetideidae","Aetideus",NA,NA,NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"75",398647,398647,398644,"Species","Aetideus armatus","(Boeck, 1872)",104275,78,6,"Arthropoda","Calanoida","Aetideidae","Aetideus","Aetideus armatus",NA,NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"76",398748,398748,398744,"Species","Agalma okeni","Eschscholtz, 1825",135485,1,1,"Cnidaria","Siphonophorae","Agalmatidae","Agalma","Agalma okeni","Hydrozoa",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"77",398789,398789,778648,"Genus","Agarum","Dumortier, 1822",157205,2,1,"Ochrophyta","Laminariales","Costariaceae","Agarum",NA,"Phaeophyceae",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"78",398790,398790,398789,"Species","Agarum clathratum","Dumortier, 1822",157207,25,5,"Ochrophyta","Laminariales","Costariaceae","Agarum","Agarum clathratum","Phaeophyceae",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"79",398799,398799,398798,"Species","Agathotanais ingolfi","Hansen, 1913",136373,7,2,"Arthropoda","Tanaidacea","Agathotanaidae","Agathotanais","Agathotanais ingolfi","Malacostraca",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"80",398863,398863,598231,"Species","Aglaophamus circinata","(Verrill in Smith & Harger, 1874)",157145,697,6,"Annelida","Phyllodocida","Nephtyidae","Aglaophamus","Aglaophamus circinata","Polychaeta",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"81",398933,398933,737560,"Species","Aglaura hemistoma","Péron & Lesueur, 1810",117851,1,1,"Cnidaria","Trachymedusae","Rhopalonematidae","Aglaura","Aglaura hemistoma","Hydrozoa",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"82",399044,399044,399042,"Species","Ahnfeltia plicata","(Hudson) E.M.Fries, 1836",144422,38,3,"Rhodophyta","Ahnfeltiales","Ahnfeltiaceae","Ahnfeltia","Ahnfeltia plicata","Florideophyceae",NA,NA,NA,NA,"Gulf of Maine_Bay of Fundy"
"83",399126,399126,771672,"Species","Aix sponsa","(Linnaeus, 1758)",158938,2,2,"Chordata","Anseriformes","Anatidae","Aix","Aix sponsa","Aves",TRUE,"LC",NA,NA,"Gulf of Maine_Bay of Fundy"
