"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","gisd","redlist","status","ecoregion"
"30",411988,411988,606606,"Species","Boccardiella ligerica","(Ferronnière, 1898)",131114,1,1,"Annelida","Spionida","Spionidae","Boccardiella","Boccardiella ligerica","Polychaeta",NA,NA,NA,"Rio de la Plata"
"31",413467,413467,413450,"Species","Bryopsis pennata","J.V.Lamouroux, 1809",144456,1,1,"Chlorophyta","Bryopsidales","Bryopsidaceae","Bryopsis","Bryopsis pennata","Ulvophyceae",NA,NA,NA,"Rio de la Plata"
"32",414044,414044,414041,"Species","Caberea darwinii","Busk, 1884",173077,1,1,"Bryozoa","Cheilostomatida","Candidae","Caberea","Caberea darwinii","Gymnolaemata",NA,NA,NA,"Rio de la Plata"
"33",414063,414063,414061,"Species","Cabira incerta","Webster, 1879",157290,1,1,"Annelida","Phyllodocida","Pilargidae","Cabira","Cabira incerta","Polychaeta",NA,NA,NA,"Rio de la Plata"
"34",415330,415330,415329,"Species","Callorhinchus callorynchus","(Linnaeus, 1758)",278468,2,1,"Chordata","Chimaeriformes","Callorhinchidae","Callorhinchus","Callorhinchus callorynchus","Holocephali",NA,TRUE,"LC","Rio de la Plata"
"35",416801,416801,775799,"Species","Carcinactis dolosa","Riemann-Zürneck, 1975",289571,1,1,"Cnidaria","Actiniaria","Sagartiidae","Carcinactis","Carcinactis dolosa","Anthozoa",NA,NA,NA,"Rio de la Plata"
"36",416848,416848,774187,"Species","Cardiapoda richardi","Vayssière, 1903",225070,1,1,"Mollusca","Littorinimorpha","Carinariidae","Cardiapoda","Cardiapoda richardi","Gastropoda",NA,NA,NA,"Rio de la Plata"
"37",416901,416901,416888,"Species","Cardita variegata","Bruguière, 1792",207678,2,1,"Mollusca","Carditoida","Carditidae","Cardita","Cardita variegata","Bivalvia",NA,NA,NA,"Rio de la Plata"
"38",417958,417958,417956,"Species","Cavolinia gibbosa","(d'Orbigny, 1834)",139028,1,1,"Mollusca","Thecosomata","Cavoliniidae","Cavolinia","Cavolinia gibbosa","Gastropoda",NA,NA,NA,"Rio de la Plata"
"39",418995,418995,749976,"Genus","Cerebratulus","Renier, 1804",122348,1,1,"Nemertea",NA,"Lineidae","Cerebratulus",NA,"Anopla",NA,NA,NA,"Rio de la Plata"
"40",419422,419422,419409,"Species","Chaceon quinquedens","(Smith, 1879)",158407,1,1,"Arthropoda","Decapoda","Geryonidae","Chaceon","Chaceon quinquedens","Malacostraca",NA,NA,NA,"Rio de la Plata"
"41",423071,423071,423069,"Species","Cirrophorus americanus","Strelzov, 1973",327112,1,1,"Annelida",NA,"Paraonidae","Cirrophorus","Cirrophorus americanus","Polychaeta",NA,NA,NA,"Rio de la Plata"
"42",423277,423277,696565,"Species","Cladophora albida","(Nees) Kutzing, 1843",145033,1,1,"Chlorophyta","Cladophorales","Cladophoraceae","Cladophora","Cladophora albida","Ulvophyceae",NA,NA,NA,"Rio de la Plata"
"43",424051,424051,424047,"Species","Clio cuspidata","(Bosc, 1801)",139032,1,1,"Mollusca","Thecosomata","Cliidae","Clio","Clio cuspidata","Gastropoda",NA,NA,NA,"Rio de la Plata"
"44",425995,425995,425991,"Species","Conopeum reticulum","(Linnaeus, 1767)",111351,2,1,"Bryozoa","Cheilostomatida","Electridae","Conopeum","Conopeum reticulum","Gymnolaemata",NA,NA,NA,"Rio de la Plata"
"45",426854,426854,426852,"Species","Cordylophora caspia","(Pallas, 1771)",117428,1,1,"Cnidaria","Anthoathecata","Cordylophoridae","Cordylophora","Cordylophora caspia","Hydrozoa",NA,NA,NA,"Rio de la Plata"
"46",428337,428337,743127,"Species","Crassinella lunulata","(Conrad, 1834)",420843,2,1,"Mollusca","Carditoida","Crassatellidae","Crassinella","Crassinella lunulata","Bivalvia",NA,NA,NA,"Rio de la Plata"
"47",428623,428623,428618,"Species","Creseis virgula","(Rang, 1828)",139035,1,1,"Mollusca","Thecosomata","Creseidae","Creseis","Creseis virgula","Gastropoda",NA,NA,NA,"Rio de la Plata"
"48",428749,428749,428742,"Species","Crisia eburnea","(Linnaeus, 1758)",111696,1,1,"Bryozoa","Cyclostomatida","Crisiidae","Crisia","Crisia eburnea","Stenolaemata",NA,NA,NA,"Rio de la Plata"
"49",429286,429286,429284,"Species","Cryptosula pallasiana","(Moll, 1803)",111343,2,1,"Bryozoa","Cheilostomatida","Cryptosulidae","Cryptosula","Cryptosula pallasiana","Gymnolaemata",NA,NA,NA,"Rio de la Plata"
"50",429352,429352,429350,"Species","Ctenocalanus vanus","Giesbrecht, 1888",104510,1,1,"Arthropoda","Calanoida","Clausocalanidae","Ctenocalanus","Ctenocalanus vanus",NA,NA,NA,NA,"Rio de la Plata"
"51",429906,429906,429892,"Species","Cuspidaria circinata","(Jeffreys, 1876)",139441,1,1,"Mollusca",NA,"Cuspidariidae","Cuspidaria","Cuspidaria circinata","Bivalvia",NA,NA,NA,"Rio de la Plata"
"52",430110,430110,696878,"Species","Cyclaspis longicaudata","Sars, 1865",110446,1,1,"Arthropoda","Cumacea","Bodotriidae","Cyclaspis","Cyclaspis longicaudata","Malacostraca",NA,NA,NA,"Rio de la Plata"
