"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","class","species","redlist","status","gisd","hab","ecoregion"
"2615",662546,662546,821830,"Species","Pseudopalaemon chryseus","Kensley & Walker, 1982",587758,2,1,"Arthropoda","Decapoda","Palaemonidae","Pseudopalaemon","Malacostraca","Pseudopalaemon chryseus",TRUE,"LC",NA,NA,"Southeastern Brazil"
"2616",662583,662583,776958,"Species","Pseudophallus mindii","(Meek & Hildebrand, 1923)",282464,2,2,"Chordata","Syngnathiformes","Syngnathidae","Pseudophallus","Actinopteri","Pseudophallus mindii",NA,NA,NA,NA,"Southeastern Brazil"
"2617",662735,662735,821836,"Species","Pseudorotella incertum","Pilsbry & McGinty, 1945",NA,7,1,"Mollusca","Littorinimorpha","Vitrinellidae","Pseudorotella","Gastropoda","Pseudorotella incertum",NA,NA,NA,NA,"Southeastern Brazil"
"2618",662766,662766,500452,"Species","Pseudosphaeroma morei","Loyola e Silva",NA,5,1,"Arthropoda","Isopoda","Sphaeromatidae","Pseudosphaeroma","Malacostraca","Pseudosphaeroma morei",NA,NA,NA,NA,"Southeastern Brazil"
"2619",662786,662786,763080,"Genus","Pseudosteineria","Wieser, 1956",2464,9,2,"Nematoda","Monhysterida","Xyalidae","Pseudosteineria","Chromadorea",NA,NA,NA,NA,NA,"Southeastern Brazil"
"2620",662846,662846,700106,"Species","Pseudothyone belli","(Ludwig, 1887)",422535,2,1,"Echinodermata","Dendrochirotida","Sclerodactylidae","Pseudothyone","Holothuroidea","Pseudothyone belli",NA,NA,NA,NA,"Southeastern Brazil"
"2621",662930,662930,500664,"Species","Pseudupeneus maculatus","(Bloch, 1793)",159421,47,3,"Chordata","Perciformes","Mullidae","Pseudupeneus","Actinopteri","Pseudupeneus maculatus",NA,NA,NA,NA,"Southeastern Brazil"
"2622",663051,663051,500816,"Species","Pteraclis carolinus","Valenciennes, 1833",126784,1,1,"Chordata","Perciformes","Bramidae","Pteraclis","Actinopteri","Pteraclis carolinus",NA,NA,NA,NA,"Southeastern Brazil"
"2623",663095,663095,757427,"Species","Pteridomonas danica","Patterson & Fenchel",341762,1,1,"Ochrophyta","Pedinellales","Pedinellaceae","Pteridomonas","Dictyochophyceae","Pteridomonas danica",NA,NA,NA,NA,"Southeastern Brazil"
"2624",663156,663156,663147,"Species","Pterodroma mollis","(Gould, 1844)",137199,1,1,"Chordata","Procellariiformes","Procellariidae","Pterodroma","Aves","Pterodroma mollis",TRUE,"LC",NA,NA,"Southeastern Brazil"
"2625",663404,1043236,779947,"Species","Puberella intapurpurea","(Conrad, 1849)",420958,2,1,"Mollusca","Veneroida","Veneridae","Puberella","Bivalvia","Puberella intapurpurea",NA,NA,NA,NA,"Southeastern Brazil"
