"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","hab","ecoregion"
"104",446761,446761,446759,"Species","Globigerinita glutinata","(Egger, 1893)",113464,407,3,"Foraminifera","Globigerinida","Candeinidae","Globigerinita","Globigerinita glutinata","Globothalamea",NA,NA,NA,"Central Chile"
"105",446766,446766,446759,"Species","Globigerinita uvula","(Ehrenberg, 1861)",113465,162,1,"Foraminifera","Globigerinida","Candeinidae","Globigerinita","Globigerinita uvula","Globothalamea",NA,NA,NA,"Central Chile"
"106",446776,446776,446767,"Species","Globigerinoides trilobus","(Reuss, 1850)",113446,40,1,"Foraminifera","Globigerinida","Globigerinidae","Globigerinoides","Globigerinoides trilobus","Globothalamea",NA,NA,NA,"Central Chile"
"107",446821,446821,629048,"Species","Globorotalia scitula","(Brady, 1882)",113452,186,2,"Foraminifera","Globigerinida","Globorotaliidae","Globorotalia","Globorotalia scitula","Globothalamea",NA,NA,NA,"Central Chile"
"108",447015,447015,447077,"Genus","Glycera","Lamarck, 1818",129296,2,1,"Annelida","Phyllodocida","Glyceridae","Glycera",NA,"Polychaeta",NA,NA,NA,"Central Chile"
"109",448470,448470,448465,"Species","Gorgonocephalus chilensis","(Philippi, 1858)",173173,8,1,"Echinodermata","Euryalida","Gorgonocephalidae","Gorgonocephalus","Gorgonocephalus chilensis","Ophiuroidea",NA,NA,NA,"Central Chile"
"110",448800,448800,448799,"Species","Grampus griseus","(G. Cuvier, 1812)",137098,12,1,"Chordata","Cetartiodactyla","Delphinidae","Grampus","Grampus griseus","Mammalia",TRUE,"LC",NA,"Central Chile"
"111",449172,449172,776507,"Species","Gurgesiella furvescens","de Buen, 1959",280951,3,1,"Chordata","Rajiformes","Rajidae","Gurgesiella","Gurgesiella furvescens","Elasmobranchii",TRUE,"LC",NA,"Central Chile"
"112",450141,450141,631046,"Species","Halargyreus johnsonii","Günther, 1862",126489,2,2,"Chordata","Gadiformes","Moridae","Halargyreus","Halargyreus johnsonii","Actinopteri",NA,NA,NA,"Central Chile"
"113",450902,450902,450901,"Species","Halitrephes maasi","Bigelow, 1909",117622,4,1,"Cnidaria","Trachymedusae","Halicreatidae","Halitrephes","Halitrephes maasi","Hydrozoa",NA,NA,NA,"Central Chile"
"114",452183,452183,774532,"Species","Helicosphaera carteri","(Wallich) Kamptner, 1941",235959,27,1,"Haptophyta","Coccosphaerales","Helicosphaeraceae","Helicosphaera","Helicosphaera carteri","Coccolithophyceae",NA,NA,NA,"Central Chile"
"115",452866,452866,632747,"Species","Henricia studeri","(Perrier, 1891)",178761,7,1,"Echinodermata","Spinulosida","Echinasteridae","Henricia","Henricia studeri","Asteroidea",NA,NA,NA,"Central Chile"
"116",453654,453654,769606,"Species","Heteropyramis maculata","Moser, 1925",135416,1,1,"Cnidaria","Siphonophorae","Clausophyidae","Heteropyramis","Heteropyramis maculata","Hydrozoa",NA,NA,NA,"Central Chile"
"117",453656,453656,748130,"Genus","Heterorhabdus","Giesbrecht, 1898",104178,4,1,"Arthropoda","Calanoida","Heterorhabdidae","Heterorhabdus",NA,NA,NA,NA,NA,"Central Chile"
"118",454116,454116,697930,"Species","Hippasteria phrygiana","(Parelius, 1768)",124043,4,1,"Echinodermata","Valvatida","Goniasteridae","Hippasteria","Hippasteria phrygiana","Asteroidea",NA,NA,NA,"Central Chile"
"119",454194,454194,754659,"Genus","Hippoglossina","Steindachner, 1876",158831,1,1,"Chordata","Pleuronectiformes","Paralichthyidae","Hippoglossina",NA,"Actinopteri",NA,NA,NA,"Central Chile"
"120",454196,454196,454194,"Species","Hippoglossina macrops","Steindachner, 1876",275824,12,2,"Chordata","Pleuronectiformes","Paralichthyidae","Hippoglossina","Hippoglossina macrops","Actinopteri",TRUE,"LC",NA,"Central Chile"
