"","id","valid_id","parent_id","rank_name","tname","tauthor","records","datasets","phylum","order","family","genus","species","class","worms_id","redlist","status","hab","gisd","ecoregion"
"82",416171,416171,609426,"Species","Candacia curta","(Dana, 1849)",1,1,"Arthropoda","Calanoida","Candaciidae","Candacia","Candacia curta",NA,104476,NA,NA,NA,NA,"Central Peru"
"83",416859,416859,429954,"Genus","Cardiomya","A. Adams, 1864",1,1,"Mollusca",NA,"Cuspidariidae","Cardiomya",NA,"Bivalvia",137857,NA,NA,NA,NA,"Central Peru"
"84",417913,417913,772178,"Genus","Caulophacus","Schulze, 1886",1,1,"Porifera","Lyssacinosida","Rossellidae","Caulophacus",NA,"Hexactinellida",132112,NA,NA,NA,NA,"Central Peru"
"85",418189,418189,1011416,"Genus","Centrodinium","Kofoid, 1907",13,1,"Myzozoa","Peridiniales","Centrodiniaceae","Centrodinium",NA,"Dinophyceae",109526,NA,NA,NA,NA,"Central Peru"
"86",418191,418191,418189,"Species","Centrodinium intermedium","Pavillard, 1930",7,1,"Myzozoa","Peridiniales","Centrodiniaceae","Centrodinium","Centrodinium intermedium","Dinophyceae",110071,NA,NA,NA,NA,"Central Peru"
"87",418229,418229,418226,"Species","Centropages brachiatus","(Dana, 1849)",2,1,"Arthropoda","Calanoida","Centropagidae","Centropages","Centropages brachiatus",NA,104490,NA,NA,NA,NA,"Central Peru"
"88",418442,418442,752044,"Class","Cephalopoda","Cuvier, 1795",13,2,"Mollusca",NA,NA,NA,NA,"Cephalopoda",11707,NA,NA,NA,NA,"Central Peru"
"89",418470,418470,741305,"Species","Cephalurus cephalus","(Gilbert, 1892)",4,2,"Chordata","Carcharhiniformes","Pentanchidae","Cephalurus","Cephalurus cephalus","Elasmobranchii",280077,TRUE,"DD",NA,NA,"Central Peru"
"90",418633,418633,770797,"Genus","Cerataulina","H.Peragallo ex Schütt, 1896",66,1,"Ochrophyta","Hemiaulales","Hemiaulaceae","Cerataulina",NA,"Bacillariophyceae",149236,NA,NA,NA,NA,"Central Peru"
"91",418638,418638,418633,"Species","Cerataulina pelagica","(Cleve) Hendey, 1937",1368,2,"Ochrophyta","Hemiaulales","Hemiaulaceae","Cerataulina","Cerataulina pelagica","Bacillariophyceae",149619,NA,NA,NA,NA,"Central Peru"
