"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","gisd","hab","ecoregion"
"4027",1017286,1017286,428618,"Species","Creseis clava","(Rang, 1828)",605988,15,2,"Mollusca","Thecosomata","Creseidae","Creseis","Creseis clava","Gastropoda",NA,NA,NA,NA,"Eastern Brazil"
"4028",1017315,1017315,649206,"Subspecies","Nicholsina usta usta","(Valenciennes, 1840)",293635,2,2,"Chordata","Perciformes","Scaridae","Nicholsina","Nicholsina usta","Actinopteri",NA,NA,NA,NA,"Eastern Brazil"
"4029",1017387,1017387,510285,"Species","Similipecten nanus","(Verrill & Bush [in Verrill], 1897)",391738,20,1,"Mollusca","Pectinoida","Propeamussiidae","Similipecten","Similipecten nanus","Bivalvia",NA,NA,NA,NA,"Eastern Brazil"
"4030",1017422,1017422,805472,"Species","Monoplex parthenopeus","(Salis Marschlins, 1793)",476531,3,1,"Mollusca","Littorinimorpha","Ranellidae","Monoplex","Monoplex parthenopeus","Gastropoda",NA,NA,NA,NA,"Eastern Brazil"
"4031",1017432,1017432,822217,"Species","Turritriton labiosus","(Wood, 1828)",476594,1,1,"Mollusca","Littorinimorpha","Ranellidae","Turritriton","Turritriton labiosus","Gastropoda",NA,NA,NA,NA,"Eastern Brazil"
"4032",1017637,1017637,745456,"Species","Eratoidea janeiroensis","(E. A. Smith, 1915)",574303,3,1,"Mollusca","Neogastropoda","Marginellidae","Eratoidea","Eratoidea janeiroensis","Gastropoda",NA,NA,NA,NA,"Eastern Brazil"
"4033",1017639,1017639,745456,"Species","Eratoidea sulcata","(d'Orbigny, 1842)",574277,2,1,"Mollusca","Neogastropoda","Marginellidae","Eratoidea","Eratoidea sulcata","Gastropoda",NA,NA,NA,NA,"Eastern Brazil"
"4034",1017656,1017656,433198,"Species","Dermomurex oxum","Petuch, 1979",564293,3,2,"Mollusca","Neogastropoda","Muricidae","Dermomurex","Dermomurex oxum","Gastropoda",NA,NA,NA,NA,"Eastern Brazil"
"4035",1017760,1017760,621449,"Subspecies","Diplodus argenteus argenteus","(Valenciennes, 1830)",273968,2,1,"Chordata","Perciformes","Sparidae","Diplodus","Diplodus argenteus","Actinopteri",TRUE,"LC",NA,NA,"Eastern Brazil"
"4036",1017793,1017793,758037,"Species","Rhodactis osculifera","(Le Sueur, 1817)",456765,2,2,"Cnidaria","Corallimorpharia","Discosomidae","Rhodactis","Rhodactis osculifera","Anthozoa",NA,NA,NA,NA,"Eastern Brazil"
"4037",1017810,1017810,1017809,"Species","Doliolina (Doliolina) muelleri","(Krohn, 1852)",720446,98,1,"Chordata","Doliolida","Doliolidae","Doliolina","Doliolina (Doliolina) muelleri","Thaliacea",NA,NA,NA,NA,"Eastern Brazil"
"4038",1017975,1017975,1017974,"Species","Hemimarginula pumila","(A. Adams, 1852)",585729,16,2,"Mollusca",NA,"Fissurellidae","Hemimarginula","Hemimarginula pumila","Gastropoda",NA,NA,NA,NA,"Eastern Brazil"
"4039",1017977,1017977,745135,"Species","Emblemariopsis signifer","(Ginsburg, 1942)",593554,17,1,"Chordata","Perciformes","Chaenopsidae","Emblemariopsis","Emblemariopsis signifer","Actinopteri",TRUE,"LC",NA,NA,"Eastern Brazil"
"4040",1017988,1017988,490235,"Species","Petalonia binghamiae","(J.Agardh) K.L.Vinogradova, 1973",499665,1,1,"Ochrophyta","Scytosiphonales","Scytosiphonaceae","Petalonia","Petalonia binghamiae","Phaeophyceae",NA,NA,NA,NA,"Eastern Brazil"
"4041",1018140,1018140,452599,"Species","Hemiliostraca auricincta","(Abbott, 1958)",566069,16,2,"Mollusca","Littorinimorpha","Eulimidae","Hemiliostraca","Hemiliostraca auricincta","Gastropoda",NA,NA,NA,NA,"Eastern Brazil"
"4042",1018165,1018165,777922,"Species","Nicidion insularis","(Nogueira, Steiner & Amaral, 2001)",742188,2,1,"Annelida","Eunicida","Eunicidae","Nicidion","Nicidion insularis","Polychaeta",NA,NA,NA,NA,"Eastern Brazil"
"4043",1018298,1018298,770454,"Species","Gloiocladia hassleri","(M.Howe & W.R.Taylor) Sánchez & Rodríguez-Prieto, 2007",416973,1,1,"Rhodophyta","Rhodymeniales","Faucheaceae","Gloiocladia","Gloiocladia hassleri","Florideophyceae",NA,NA,NA,NA,"Eastern Brazil"
"4044",1018324,1018324,443442,"Species","Favartia varimutabilis","Houart, 1991",724684,7,1,"Mollusca","Neogastropoda","Muricidae","Favartia","Favartia varimutabilis","Gastropoda",NA,NA,NA,NA,"Eastern Brazil"
