"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","ecoregion"
"86",446761,446761,446759,"Species","Globigerinita glutinata","(Egger, 1893)",113464,91,2,"Foraminifera","Globigerinida","Candeinidae","Globigerinita","Globigerinita glutinata","Globothalamea",NA,NA,"Chiloense"
"87",446821,446821,629048,"Species","Globorotalia scitula","(Brady, 1882)",113452,78,2,"Foraminifera","Globigerinida","Globorotaliidae","Globorotalia","Globorotalia scitula","Globothalamea",NA,NA,"Chiloense"
"88",447580,447580,447566,"Species","Gobiesox marmoratus","Jenyns, 1842",275673,2,2,"Chordata","Gobiesociformes","Gobiesocidae","Gobiesox","Gobiesox marmoratus","Actinopteri",NA,NA,"Chiloense"
"89",448026,448026,448025,"Species","Gonatus antarcticus","Lönnberg, 1898",325300,1,1,"Mollusca","Oegopsida","Gonatidae","Gonatus","Gonatus antarcticus","Cephalopoda",TRUE,"LC","Chiloense"
"90",448103,448103,747060,"Species","Goniada uncinigera","Ehlers, 1901",240458,1,1,"Annelida","Phyllodocida","Goniadidae","Goniada","Goniada uncinigera","Polychaeta",NA,NA,"Chiloense"
"91",449819,449819,449817,"Species","Gyroidina neosoldanii","Brotzen, 1936",112898,27,1,"Foraminifera","Rotaliida","Gavelinellidae","Gyroidina","Gyroidina neosoldanii","Globothalamea",NA,NA,"Chiloense"
"92",450144,450144,450143,"Species","Halcampa abtaoensis","Carlgren, 1959",283562,2,2,"Cnidaria","Actiniaria","Halcampidae","Halcampa","Halcampa abtaoensis","Anthozoa",NA,NA,"Chiloense"
"93",450188,450188,775878,"Species","Halcurias pilatus","McMurrich, 1893",290067,2,2,"Cnidaria","Actiniaria","Halcuriidae","Halcurias","Halcurias pilatus","Anthozoa",NA,NA,"Chiloense"
"94",450242,450242,450203,"Species","Halecium tenellum","Hincks, 1861",117606,2,1,"Cnidaria","Leptothecata","Haleciidae","Halecium","Halecium tenellum","Hydrozoa",NA,NA,"Chiloense"
"95",450540,450540,697799,"Species","Haliclona nodosa","Lévi, 1993",166420,2,2,"Porifera","Haplosclerida","Chalinidae","Haliclona","Haliclona nodosa","Demospongiae",NA,NA,"Chiloense"
"96",451040,451040,451039,"Species","Halopsis ocellata","Agassiz, 1865",117751,2,1,"Cnidaria","Leptothecata","Mitrocomidae","Halopsis","Halopsis ocellata","Hydrozoa",NA,NA,"Chiloense"
"97",451645,451645,631911,"Species","Harmothoe magellanica","(McIntosh, 1885)",174468,5,1,"Annelida","Phyllodocida","Polynoidae","Harmothoe","Harmothoe magellanica","Polychaeta",NA,NA,"Chiloense"
"98",451684,451684,771530,"Order","Harpacticoida","Sars M., 1903",1102,1,1,"Arthropoda","Harpacticoida",NA,NA,NA,NA,NA,NA,"Chiloense"
"99",452183,452183,774532,"Species","Helicosphaera carteri","(Wallich) Kamptner, 1941",235959,15,1,"Haptophyta","Coccosphaerales","Helicosphaeraceae","Helicosphaera","Helicosphaera carteri","Coccolithophyceae",NA,NA,"Chiloense"
"100",452856,452856,632747,"Species","Henricia obesa","(Sladen, 1889)",178757,1,1,"Echinodermata","Spinulosida","Echinasteridae","Henricia","Henricia obesa","Asteroidea",NA,NA,"Chiloense"
"101",452866,452866,632747,"Species","Henricia studeri","(Perrier, 1891)",178761,2,1,"Echinodermata","Spinulosida","Echinasteridae","Henricia","Henricia studeri","Asteroidea",NA,NA,"Chiloense"
"102",453656,453656,748130,"Genus","Heterorhabdus","Giesbrecht, 1898",104178,3,1,"Arthropoda","Calanoida","Heterorhabdidae","Heterorhabdus",NA,NA,NA,NA,"Chiloense"
"103",453838,453838,767628,"Genus","Hexanchus","Rafinesque, 1810",105739,1,1,"Chordata","Hexanchiformes","Hexanchidae","Hexanchus",NA,"Elasmobranchii",NA,NA,"Chiloense"
"104",453841,453841,453838,"Species","Hexanchus griseus","(Bonnaterre, 1788)",105833,2,2,"Chordata","Hexanchiformes","Hexanchidae","Hexanchus","Hexanchus griseus","Elasmobranchii",TRUE,"NT","Chiloense"
"105",454195,454195,454194,"Species","Hippoglossina bollmani","Gilbert, 1890",275823,1,1,"Chordata","Pleuronectiformes","Paralichthyidae","Hippoglossina","Hippoglossina bollmani","Actinopteri",TRUE,"LC","Chiloense"
"106",454483,454483,748316,"Species","Histioteuthis atlantica","(Hoyle, 1885)",341864,1,1,"Mollusca","Oegopsida","Histioteuthidae","Histioteuthis","Histioteuthis atlantica","Cephalopoda",TRUE,"LC","Chiloense"
"107",455155,455155,455137,"Species","Hormathia pectinata","(Hertwig, 1882)",283637,14,2,"Cnidaria","Actiniaria","Hormathiidae","Hormathia","Hormathia pectinata","Anthozoa",NA,NA,"Chiloense"
"108",455170,455170,768232,"Species","Hormosina globulifera","Brady, 1879",113979,1,1,"Foraminifera","Lituolida","Hormosinidae","Hormosina","Hormosina globulifera","Globothalamea",NA,NA,"Chiloense"
"109",455482,455482,455478,"Species","Hybocodon unicus","(Browne, 1902)",285974,2,1,"Cnidaria","Anthoathecata","Tubulariidae","Hybocodon","Hybocodon unicus","Hydrozoa",NA,NA,"Chiloense"
"110",457202,457202,772018,"Genus","Iophon","Gray, 1867",131863,8,3,"Porifera","Poecilosclerida","Acarnidae","Iophon",NA,"Demospongiae",NA,NA,"Chiloense"
"111",457205,457205,457202,"Species","Iophon nigricans","(Bowerbank, 1858)",132971,2,2,"Porifera","Poecilosclerida","Acarnidae","Iophon","Iophon nigricans","Demospongiae",NA,NA,"Chiloense"
"112",457571,457571,750993,"Genus","Isocirrus","Arwidsson, 1906",129348,1,1,"Annelida",NA,"Maldanidae","Isocirrus",NA,"Polychaeta",NA,NA,"Chiloense"
"113",457638,457638,748855,"Species","Isolda viridis","Hartmann-Schröder, 1965",328503,4,1,"Annelida","Terebellida","Ampharetidae","Isolda","Isolda viridis","Polychaeta",NA,NA,"Chiloense"
"114",457974,457974,767114,"Family","Janthinidae","Lamarck, 1822",1748,1,1,"Mollusca","Caenogastropoda incertae sedis","Janthinidae",NA,NA,"Gastropoda",NA,NA,"Chiloense"
"115",458422,458422,768231,"Species","Karreriella bradyi","(Cushman, 1911)",113941,2,1,"Foraminifera","Textulariida","Eggerellidae","Karreriella","Karreriella bradyi","Globothalamea",NA,NA,"Chiloense"
"116",458486,458486,749032,"Species","Kefersteinia cirrata","(Keferstein, 1862)",130164,2,1,"Annelida","Phyllodocida","Hesionidae","Kefersteinia","Kefersteinia cirrata","Polychaeta",NA,NA,"Chiloense"
"117",459143,459143,772646,"Species","Labidiaster radiosus","Lütken, 1872",178810,2,2,"Echinodermata","Forcipulatida","Heliasteridae","Labidiaster","Labidiaster radiosus","Asteroidea",NA,NA,"Chiloense"
"118",459598,459598,743939,"Genus","Lagenorhynchus","Gray, 1846",137020,2,1,"Chordata","Cetartiodactyla","Delphinidae","Lagenorhynchus",NA,"Mammalia",NA,NA,"Chiloense"
"119",459601,459601,459598,"Species","Lagenorhynchus australis","(Peale, 1848)",254980,35,1,"Chordata","Cetartiodactyla","Delphinidae","Lagenorhynchus","Lagenorhynchus australis","Mammalia",TRUE,"DD","Chiloense"
"120",459604,459604,459598,"Species","Lagenorhynchus obscurus","(Gray, 1828)",231434,10,1,"Chordata","Cetartiodactyla","Delphinidae","Lagenorhynchus","Lagenorhynchus obscurus","Mammalia",TRUE,"DD","Chiloense"
"121",460481,460481,769399,"Genus","Latrunculia","du Bocage, 1869",132038,2,2,"Porifera","Poecilosclerida","Latrunculiidae","Latrunculia",NA,"Demospongiae",NA,NA,"Chiloense"
"122",462180,462180,776634,"Species","Leptonotus blainvilleanus","(Eydoux & Gervais, 1837)",281324,3,1,"Chordata","Syngnathiformes","Syngnathidae","Leptonotus","Leptonotus blainvilleanus","Actinopteri",NA,NA,"Chiloense"
"123",462700,462700,698274,"Species","Leuckartiara octona","(Fleming, 1823)",117791,2,1,"Cnidaria","Anthoathecata","Pandeidae","Leuckartiara","Leuckartiara octona","Hydrozoa",NA,NA,"Chiloense"
"124",462765,462765,767645,"Species","Leucoraja circularis","(Couch, 1838)",105873,1,1,"Chordata","Rajiformes","Rajidae","Leucoraja","Leucoraja circularis","Elasmobranchii",TRUE,"EN","Chiloense"
"125",462939,462939,462936,"Species","Levinsenia gracilis","(Tauber, 1879)",130578,3,1,"Annelida",NA,"Paraonidae","Levinsenia","Levinsenia gracilis","Polychaeta",NA,NA,"Chiloense"
"126",462942,462942,462936,"Species","Levinsenia oculata","(Hartman, 1957)",156209,5,1,"Annelida",NA,"Paraonidae","Levinsenia","Levinsenia oculata","Polychaeta",NA,NA,"Chiloense"
"127",463626,463626,463618,"Species","Lineus longifissus","(Hubrecht, 1887)",155894,1,1,"Nemertea",NA,"Lineidae","Lineus","Lineus longifissus","Anopla",NA,NA,"Chiloense"
"128",464584,464584,768172,"Species","Lobatula lobatula","(Walker & Jacob, 1798)",113118,11,1,"Foraminifera","Rotaliida","Cibicididae","Lobatula","Lobatula lobatula","Globothalamea",NA,NA,"Chiloense"
