"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","gisd","ecoregion"
"61",410793,410793,739716,"Species","Bathyraja papilionifera","Stehmann, 1985",271527,3,1,"Chordata","Rajiformes","Arhynchobatidae","Bathyraja","Bathyraja papilionifera","Elasmobranchii",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"62",410798,410798,739716,"Species","Bathyraja scaphiops","(Norman, 1937)",271531,7,2,"Chordata","Rajiformes","Arhynchobatidae","Bathyraja","Bathyraja scaphiops","Elasmobranchii",TRUE,"NT",NA,"Uruguay-Buenos Aires Shelf"
"63",411366,411366,504575,"Genus","Benthonella","Dall, 1889",138441,2,1,"Mollusca","Littorinimorpha","Rissoidae","Benthonella",NA,"Gastropoda",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"64",411368,411368,411366,"Species","Benthonella tenella","(Jeffreys, 1869)",141261,2,1,"Mollusca","Littorinimorpha","Rissoidae","Benthonella","Benthonella tenella","Gastropoda",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"65",411477,411477,411471,"Species","Beryx splendens","Lowe, 1834",126395,1,1,"Chordata","Beryciformes","Berycidae","Beryx","Beryx splendens","Actinopteri",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"66",411553,411553,607570,"Genus","Bicellariella","Levinsen, 1909",110837,2,1,"Bryozoa","Cheilostomatida","Bugulidae","Bicellariella",NA,"Gymnolaemata",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"67",411750,411750,411745,"Species","Bimeria vestita","Wright, 1859",117320,1,1,"Cnidaria","Anthoathecata","Bougainvilliidae","Bimeria","Bimeria vestita","Hydrozoa",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"68",411980,411980,606601,"Species","Boccardia polybranchia","(Haswell, 1885)",131111,8,2,"Annelida","Spionida","Spionidae","Boccardia","Boccardia polybranchia","Polychaeta",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"69",411981,411981,606601,"Species","Boccardia proboscidea","Hartman, 1940",327249,1,1,"Annelida","Spionida","Spionidae","Boccardia","Boccardia proboscidea","Polychaeta",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"70",411987,411987,606606,"Species","Boccardiella hamata","(Webster, 1879)",333121,1,1,"Annelida","Spionida","Spionidae","Boccardiella","Boccardiella hamata","Polychaeta",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"71",412225,412225,739994,"Species","Bolocera kerguelensis","Studer, 1879",283381,7,3,"Cnidaria","Actiniaria","Actiniidae","Bolocera","Bolocera kerguelensis","Anthozoa",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"72",412243,412243,773992,"Species","Boloceroides mcmurrichi","(Kwietniewski, 1898)",288925,2,1,"Cnidaria","Actiniaria","Boloceroididae","Boloceroides","Boloceroides mcmurrichi","Anthozoa",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"73",412399,412399,776251,"Species","Boridia grossidens","Cuvier, 1830",279940,3,1,"Chordata","Perciformes","Haemulidae","Boridia","Boridia grossidens","Actinopteri",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"74",412429,412429,740024,"Species","Borostomias antarcticus","(Lönnberg, 1905)",127334,1,1,"Chordata","Stomiiformes","Stomiidae","Borostomias","Borostomias antarcticus","Actinopteri",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"75",412434,412434,857621,"Genus","Borsonia","Bellardi, 1839",137809,2,1,"Mollusca","Neogastropoda","Borsoniidae","Borsonia",NA,"Gastropoda",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"76",412659,412659,412653,"Species","Bougainvillia macloviana","Lesson, 1830",117324,1,1,"Cnidaria","Anthoathecata","Bougainvilliidae","Bougainvillia","Bougainvillia macloviana","Hydrozoa",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"77",412697,412697,412695,"Species","Bovichtus argentinus","MacDonagh, 1931",279373,4,1,"Chordata","Perciformes","Bovichtidae","Bovichtus","Bovichtus argentinus","Actinopteri",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"78",413166,413166,413165,"Species","Brevoortia aurea","(Spix & Agassiz, 1829)",275498,1,1,"Chordata","Clupeiformes","Clupeidae","Brevoortia","Brevoortia aurea","Actinopteri",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"79",413273,413273,1011682,"Genus","Brookula","Iredale, 1912",196946,4,1,"Mollusca",NA,"[unassigned] Seguenzioidea","Brookula",NA,"Gastropoda",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"80",413450,413450,770257,"Genus","Bryopsis","J.V.Lamouroux, 1809",143812,7,1,"Chlorophyta","Bryopsidales","Bryopsidaceae","Bryopsis",NA,"Ulvophyceae",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"81",413461,413461,413450,"Species","Bryopsis hypnoides","J.V.Lamouroux, 1809",144452,1,1,"Chlorophyta","Bryopsidales","Bryopsidaceae","Bryopsis","Bryopsis hypnoides","Ulvophyceae",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"82",413472,413472,413450,"Species","Bryopsis plumosa","(Hudson) C.Agardh, 1823",144457,1,1,"Chlorophyta","Bryopsidales","Bryopsidaceae","Bryopsis","Bryopsis plumosa","Ulvophyceae",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"83",414480,414480,414462,"Species","Calanus simillimus","Giesbrecht, 1902",342436,1,1,"Arthropoda","Calanoida","Calanidae","Calanus","Calanus simillimus",NA,NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"84",414543,414543,774525,"Species","Calcidiscus leptoporus","(G.Murray & V.H.Blackman) Loeblich Jr. & Tappan, 1978",235923,1,1,"Haptophyta","Coccolithales","Calcidiscaceae","Calcidiscus","Calcidiscus leptoporus","Prymnesiophyceae",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"85",414831,414831,792977,"Genus","Callinectes","Stimpson, 1860",106921,2,1,"Arthropoda","Decapoda","Portunidae","Callinectes",NA,"Malacostraca",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"86",415330,415330,415329,"Species","Callorhinchus callorynchus","(Linnaeus, 1758)",278468,22,3,"Chordata","Chimaeriformes","Callorhinchidae","Callorhinchus","Callorhinchus callorynchus","Holocephali",TRUE,"LC",NA,"Uruguay-Buenos Aires Shelf"
"87",415382,415382,769379,"Genus","Callyspongia","Duchassaing & Michelotti, 1864",131825,1,1,"Porifera","Haplosclerida","Callyspongiidae","Callyspongia",NA,"Demospongiae",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"88",415758,415758,415742,"Species","Campanularia hincksii","Alder, 1856",117364,2,1,"Cnidaria","Leptothecata","Campanulariidae","Campanularia","Campanularia hincksii","Hydrozoa",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"89",415840,415840,609164,"Species","Campylaspis bicarinata","Jones, 1974",182384,1,1,"Arthropoda","Cumacea","Nannastacidae","Campylaspis","Campylaspis bicarinata","Malacostraca",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
"90",415848,415848,609164,"Species","Campylaspis exarata","Jones, 1974",182398,1,1,"Arthropoda","Cumacea","Nannastacidae","Campylaspis","Campylaspis exarata","Malacostraca",NA,NA,NA,"Uruguay-Buenos Aires Shelf"
