"","id","valid_id","parent_id","rank_name","tname","tauthor","worms_id","records","datasets","phylum","order","family","genus","species","class","redlist","status","hab","ecoregion"
"75",412186,412186,606664,"Species","Bolivina variabilis","(Williamson, 1858)",112998,8,1,"Foraminifera","Rotaliida","Bolivinitidae","Bolivina","Bolivina variabilis","Globothalamea",NA,NA,NA,"Malvinas_Falklands"
"76",412225,412225,739994,"Species","Bolocera kerguelensis","Studer, 1879",283381,23,3,"Cnidaria","Actiniaria","Actiniidae","Bolocera","Bolocera kerguelensis","Anthozoa",NA,NA,NA,"Malvinas_Falklands"
"77",412429,412429,740024,"Species","Borostomias antarcticus","(Lönnberg, 1905)",127334,1,1,"Chordata","Stomiiformes","Stomiidae","Borostomias","Borostomias antarcticus","Actinopteri",NA,NA,NA,"Malvinas_Falklands"
"78",412659,412659,412653,"Species","Bougainvillia macloviana","Lesson, 1830",117324,6,2,"Cnidaria","Anthoathecata","Bougainvilliidae","Bougainvillia","Bougainvillia macloviana","Hydrozoa",NA,NA,NA,"Malvinas_Falklands"
"79",413082,413082,607174,"Species","Brania rhopalophora","(Ehlers, 1897)",174878,1,1,"Annelida","Phyllodocida","Syllidae","Brania","Brania rhopalophora","Polychaeta",NA,NA,NA,"Malvinas_Falklands"
"80",413210,413210,696056,"Species","Brisaster moseleyi","(A. Agassiz, 1881)",160791,21,2,"Echinodermata","Spatangoida","Schizasteridae","Brisaster","Brisaster moseleyi","Echinoidea",NA,NA,NA,"Malvinas_Falklands"
"81",413791,413791,740355,"Species","Bunodactis octoradiata","(Carlgren, 1899)",283398,3,1,"Cnidaria","Actiniaria","Actiniidae","Bunodactis","Bunodactis octoradiata","Anthozoa",NA,NA,NA,"Malvinas_Falklands"
"82",414044,414044,414041,"Species","Caberea darwinii","Busk, 1884",173077,27,4,"Bryozoa","Cheilostomatida","Candidae","Caberea","Caberea darwinii","Gymnolaemata",NA,NA,NA,"Malvinas_Falklands"
"83",414462,414462,414431,"Genus","Calanus","Leach, 1816",104152,11,1,"Arthropoda","Calanoida","Calanidae","Calanus",NA,NA,NA,NA,NA,"Malvinas_Falklands"
"84",414479,414479,414462,"Species","Calanus propinquus","Brady, 1883",342435,2,1,"Arthropoda","Calanoida","Calanidae","Calanus","Calanus propinquus",NA,NA,NA,NA,"Malvinas_Falklands"
"85",414480,414480,414462,"Species","Calanus simillimus","Giesbrecht, 1902",342436,24,2,"Arthropoda","Calanoida","Calanidae","Calanus","Calanus simillimus",NA,NA,NA,NA,"Malvinas_Falklands"
"86",414527,414527,496656,"Class","Calcarea","Bowerbank, 1862",559,2,1,"Porifera",NA,NA,NA,NA,"Calcarea",NA,NA,NA,"Malvinas_Falklands"
